start,lab4-nz27.log,lab4-nz08.log,lab4-nz05.log,lab4-nz02.log,lab4-nz22.log,lab4-nz04.log,lab4-nz26.log,lab4-nz13.log,lab4-nz28.log,lab4-nz03.log,lab4-nz11.log,lab4-nz20.log,lab4-nz07.log,lab4-nz25.log,lab4-nz01.log,lab4-nz21.log,lab4-nz12.log,lab4-nz19.log,lab4-nz16.log,lab4-nz15.log,lab4-nz18.log,lab4-nz06.log,lab4-nz14.log,lab4-nz17.log,lab4-nz09.log,lab4-nz10.log,lab4-nz23.log,lab4-nz24.log
0.0,900.424,906.332,904.34,901.886,906.874,905.685,905.88,900.801,906.348,904.271,905.882,904.226,901.793,902.44,904.229,907.782,903.313,904.603,904.39,905.895,893.478,898.857,904.309,903.035,891.678,906.295,904.422,904.347
1.0,896.915,896.433,901.805,898.89,899.41,896.402,900.378,900.334,897.888,898.888,896.908,899.889,900.41,899.326,898.908,897.981,897.423,898.855,901.894,898.377,897.886,900.836,899.344,901.315,898.876,896.905,898.86,900.32
2.0,901.312,900.798,894.931,898.844,896.387,901.797,897.856,898.873,897.388,895.904,899.839,900.25,896.83,894.961,900.3,897.385,898.379,897.891,895.831,897.396,900.199,898.354,900.338,898.873,897.38,900.327,900.349,898.915
3.0,898.873,895.932,900.828,896.909,898.372,897.39,898.86,896.407,899.352,900.38,898.862,896.011,898.373,900.826,897.397,897.397,897.868,897.381,899.37,901.854,894.586,898.388,895.932,895.909,898.374,895.923,895.905,898.87
4.0,897.864,901.689,897.392,898.877,898.818,897.408,898.432,899.339,900.913,897.335,898.866,898.346,899.352,896.903,899.851,898.855,899.851,899.862,895.913,895.861,902.356,896.903,899.355,900.83,900.368,901.86,901.319,895.377
5.0,895.928,897.039,897.388,898.365,898.884,900.818,895.862,897.411,897.798,898.381,896.415,898.374,895.932,899.849,897.879,897.89,896.42,899.34,900.835,899.359,897.83,897.403,900.821,897.87,897.362,894.88,896.415,898.382
6.0,900.337,899.344,898.876,897.893,897.874,897.885,901.326,901.77,896.419,898.861,899.847,900.338,901.322,899.951,899.358,900.339,900.335,899.353,897.394,899.848,898.933,900.821,897.887,899.429,897.879,898.87,899.359,901.402
7.0,898.867,896.416,900.351,901.469,897.394,897.401,897.883,897.425,901.413,896.418,898.374,897.389,899.265,894.838,897.39,896.421,898.369,896.922,897.395,896.409,897.323,896.409,897.393,896.848,898.389,901.873,900.692,898.671
8.0,896.884,899.844,899.401,896.869,897.892,899.349,897.893,899.363,897.301,901.312,899.848,899.848,895.027,899.841,898.385,898.843,896.903,897.387,899.355,900.342,898.382,898.383,898.381,897.884,899.352,896.356,898.031,896.501
9.0,897.867,900.246,895.342,897.856,901.331,900.34,899.344,896.917,898.868,895.448,896.568,895.433,900.336,900.354,900.342,900.343,899.852,899.356,898.869,896.413,899.355,899.84,898.377,898.871,898.045,897.888,898.36,899.361
